Name,Synonym,Mol. form.,CAS Reg. No.,Mol. wt.,ΔhydH∞/kJ mol-1 ,kcal/mol
Acenaphthene,"1,2-Dihydroacenaphthylene",C12H10 ,83-32-9,154.207,-52.1,-12.4522126
Acetic acid,Ethanoic acid,C2H4O2 ,64-19-7,60.052,-52.8,-12.6195168
Acetone,2-Propanone,C3H6O ,67-64-1,58.079,-39.7,-9.4885382
Acetonitrile,Methyl cyanide,C2H3N ,75-05-8,41.052,-34.9,-8.3413094
Acetophenone,Methyl phenyl ketone,C8H8O ,98-86-2,120.149,-53.3,-12.7390198
Ammonia,R-717,H3N ,7664-41-7,17.031,-35.4,-8.4608124
Aniline,Benzenamine,C6H7N ,62-53-3,93.127,-56.5,-13.503839
Anisole,Methoxybenzene,C7H8O ,100-66-3,108.138,-41.4,-9.8948484
Benzaldehyde,Benzenecarboxaldehyde,C7H6O ,100-52-7,106.122,-42.1,-10.0621526
Benzene,[6]Annulene,C6H6 ,71-43-2,78.112,-28.1,-6.7160686
Benzonitrile,Phenyl cyanide,C7H5N ,100-47-0,103.122,-48.5,-11.591791
Benzyl alcohol,Benzenemethanol,C7H8O ,100-51-6,108.138,-66.9,-15.9895014
Biphenyl,Diphenyl,C12H10 ,92-52-4,154.207,-47.2,-11.2810832
Bromobenzene,Phenyl bromide,C6H5Br ,108-86-1,157.008,-33.5,-8.006701
Bromodichloromethane,,CHBrCl2 ,75-27-4,163.829,-28.9,-6.9072734
Bromoethane,Ethyl bromide,C2H5Br ,74-96-4,108.965,-29.5,-7.050677
Bromomethane,Methyl bromide,CH3Br ,74-83-9,94.939,-23.8,-5.6883428
2-Bromo-2-methylpropane,tert-Butyl bromide ,C4H9Br ,507-19-7,137.018,-25.4,-6.0707524
"1,3-Butadiene",Divinyl,C4H6 ,106-99-0,54.091,-31.4,-7.5047884
Butane,,C4H10 ,106-97-8,58.122,-24.8,-5.9273488
"1,4-Butanediamine",Putrescine,C4H12N2 ,110-60-1,88.151,-91.6,-21.8929496
"1,4-Butanediol",Tetramethylene glycol,C4H10O2 ,110-63-4,90.121,-89.6,-21.4149376
