,Name,Mol. wt.,smiles,kcal/mol,ΔhydH∞/kJ mol-1
0,Acenaphthene,154.207,C1Cc2cccc3cccc1c23,-12.4522126,-52.1
1,Acetic acid,60.052,CC(O)=O,-12.6195168,-52.8
2,Acetone,58.079,CC(C)=O,-9.4885382,-39.7
3,Acetonitrile,41.052,CC#N,-8.3413094,-34.9
4,Acetophenone,120.149,CC(=O)c1ccccc1,-12.7390198,-53.3
5,Ammonia,17.031,N,-8.4608124,-35.4
6,Aniline,93.127,Nc1ccccc1,-13.503839,-56.5
7,Anisole,108.138,COc1ccccc1,-9.8948484,-41.4
8,Benzaldehyde,106.122,O=Cc1ccccc1,-10.0621526,-42.1
9,Benzene,78.112,c1ccccc1,-6.7160686,-28.1
10,Benzonitrile,103.122,N#Cc1ccccc1,-11.591791,-48.5
11,Benzyl alcohol,108.138,OCc1ccccc1,-15.9895014,-66.9
12,Biphenyl,154.207,c1ccc(cc1)c2ccccc2,-11.2810832,-47.2
13,Bromobenzene,157.008,Brc1ccccc1,-8.006701,-33.5
14,Bromodichloromethane,163.829,ClC(Cl)Br,-6.9072734,-28.9
15,Bromoethane,108.965,CCBr,-7.050677,-29.5
16,Bromomethane,94.939,CBr,-5.6883428,-23.8
17,2-Bromo-2-methylpropane,137.018,CC(C)(C)Br,-6.0707524,-25.4
18,"1,3-Butadiene",54.091,C=CC=C,-7.5047884,-31.4
19,Butane,58.122,CCCC,-5.9273488,-24.8
20,"1,4-Butanediamine",88.151,NCCCCN,-21.8929496,-91.6
21,"1,4-Butanediol",90.121,OCCCCO,-21.4149376,-89.6
22,Butanenitrile,69.106,CCCC#N,-10.0621526,-42.1
23,"1,2,3,4-Butanetetrol",122.12,OCC(O)C(O)CO,-27.246684,-114.0
24,1-Butanethiol,90.187,CCCCS,-8.6759178,-36.3
25,Butanoic acid,88.106,CCCC(O)=O,-14.220857,-59.5
26,1-Butanol,74.121,CCCCO,-14.7944714,-61.9
27,2-Butanol,74.121,CCC(C)O,-14.9856762,-62.7
28,2-Butanone,72.106,CCC(C)=O,-10.0143514,-41.9
29,1-Butene,56.107,CCC=C,-5.7600446,-24.1
30,2-Butoxyethanol,118.174,CCCCOCCO,-17.5908416,-73.6
31,Butyl acetate,116.158,CCCCOC(C)=O,-12.5956162,-52.7
32,sec-Butyl acetate ,116.158,CCC(C)OC(C)=O,-12.4044114,-51.9
33,tert-Butyl acetate ,116.158,CC(=O)OC(C)(C)C,-11.0420772,-46.2
34,Butylamine,73.137,CCCCN,-14.1491552,-59.2
35,sec-Butylamine ,73.137,CCC(C)N,-13.6472426,-57.1
36,tert-Butylamine ,73.137,CC(C)(C)N,-14.101354,-59.0
37,Butylbenzene,134.218,CCCCc1ccccc1,-9.201731,-38.5
38,Butyl butanoate,144.212,CCCCOC(=O)CCC,-15.176881,-63.5
39,Butyl ethyl ether,102.174,CCCCOCC,-11.5678904,-48.4
40,tert-Butyl ethyl ether ,102.174,CCOC(C)(C)C,-12.7629204,-53.4
41,4-tert-Butylphenol,150.217,CC(C)(C)c1ccc(O)cc1,-15.2485828,-63.8
42,Butyl propanoate,130.185,CCCCOC(=O)CC,-13.8145468,-57.8
43,1-Butyne,54.091,CCC#C,-3.226581,-13.5
44,Chlorobenzene,112.557,Clc1ccccc1,-7.3135836,-30.6
45,2-Chlorobiphenyl,188.652,Clc1ccccc1c2ccccc2,-10.2294568,-42.8
46,1-Chlorobutane,92.567,CCCCCl,-6.7399692,-28.2
47,2-Chlorobutane,92.567,CCC(C)Cl,-8.2696076,-34.6
48,Chlorodibromomethane,208.28,ClC(Br)Br,-7.9588998,-33.3
49,Chlorodifluoromethane,86.469,FC(F)Cl,-5.4493368,-22.8
50,"2-Chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",184.492,FC(F)OC(Cl)C(F)(F)F,-8.4369118,-35.3
51,Chloroethane,64.514,CCCl,-5.258132,-22.0
52,Chlorofluoromethane,68.478,FCCl,-5.1864302,-21.7
53,1-Chlorohexane,120.62,CCCCCCCl,-8.245707,-34.5
54,Chloromethane,50.488,CCl,-4.8279212,-20.2
55,1-Chloropentane,106.594,CCCCCCl,-8.1501046,-34.1
56,3-Chlorophenol,128.556,Oc1cccc(Cl)c1,-12.0220018,-50.3
57,1-Chloropropane,78.541,CCCCl,-6.453162,-27.0
58,2-Chloropyridine,113.546,Clc1ccccn1,-10.1816556,-42.6
59,3-Chloropyridine,113.546,Clc1cccnc1,-11.0420772,-46.2
60,2-Chlorotoluene,126.584,Cc1ccccc1Cl,-9.1539298,-38.3
61,3-Chlorotoluene,126.584,Cc1cccc(Cl)c1,-8.843222,-37.0
62,4-Chlorotoluene,126.584,Cc1ccc(Cl)cc1,-7.9588998,-33.3
63,o-Cresol ,108.138,Cc1ccccc1O,-15.4875888,-64.8
64,m-Cresol ,108.138,Cc1cccc(O)c1,-14.0296522,-58.7
65,p-Cresol ,108.138,Cc1ccc(O)cc1,-14.6510678,-61.3
