,smiles,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,CN(C)C(=O)c1ccc(cc1)OC,11.4291832,0.002456538,11.4291832,0.002456538,0.686360161,179.219,166.115,179.0946287,70,0,0.252836368,-0.49676777,0.49676777,0.252836368,1.230769231,1.769230769,2.153846154,16.46527606,10.17348838,2.059861278,-2.095383521,2.113955674,-2.208845365,5.934347331,0.082735192,2.858695149,290.2979848,9.844934983,8.073111253,8.073111253,6.147065708,4.005897775,4.005897775,2.928081296,2.928081296,1.743150095,1.743150095,0.99179455,0.99179455,-1.51,857.684336,9.577032202,3.93735957,2.211653293,77.92607258,9.636772685,5.749511833,0,0,5.907179729,0,4.794537184,0,0,0,0,24.26546827,19.65879546,7.109797541,9.531400138,5.907179729,0,4.899909731,0,0,21.20514151,29.82891977,0,5.749511833,4.736862954,0,5.749511833,0,32.01223097,0,0,10.35798868,24.26546827,0,0,0,29.54,0,4.794537184,0,5.907179729,5.563451492,5.749511833,0,50.37051951,0,0,4.736862954,4.984484599,0,12.97264503,0,0.672037037,0.761999244,7.051388889,0,0,5.0574452,0.3,13,0,3,0,0,0,1,0,1,2,0,3,2,0,0,0,1,1.397,51.0115,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CS(=O)(=O)Cl,9.397376543,-3.194444444,9.397376543,0.925154321,0.421426842,114.553,111.529,113.954228,32,0,0.22921249,-0.212518338,0.22921249,0.212518338,1.6,1.6,1.6,35.73293324,11.96057564,1.833455393,-1.649524327,1.830525177,-1.755764691,8.127256668,0.614557054,4.062942299,92.81635834,4.5,2.602709344,4.175134871,2,0.895884974,3.613475021,0.681666223,3.726747714,0,0,0,0,0.24,3.609640474,5.24,1.143106509,369.3511111,35.17171889,0,0,0,9.050820826,0,0,0,8.417796984,0,0,0,0,10.68238926,6.255769184,8.417796984,19.73321009,0,0,0,0,6.255769184,0,0,0,0,0,0,10.68238926,14.67356617,9.050820826,0,0,0,0,0,0,34.14,9.050820826,8.417796984,0,0,0,6.255769184,0,0,0,10.68238926,0,18.79475309,0,0,0,0,0,0,0.925154321,0,1.30787037,1,5,0,2,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0.1848,20.6968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CC(C)C=C,3.560185185,0.648148148,3.560185185,0.648148148,0.412737286,70.135,60.055,70.07825032,30,0,-0.029309968,-0.10282411,0.10282411,0.029309968,1.6,1.8,1.8,13.79748942,10.22698363,1.733921099,-1.837191163,1.867761171,-1.706534833,4.688146152,0.834576074,2.825749369,27.01955001,4.28445705,3.86180732,3.86180732,2.27005561,1.896282162,1.896282162,1.479719196,1.479719196,0.471404521,0.471404521,0,0,-0.26,9.651484454,4.74,2.007379679,3.74,33.50941645,0,0,0,0,0,0,0,0,0,6.578935684,19.92349451,5.917906046,0,0,0,0,0,0,5.917906046,13.8474744,0,12.65495579,0,0,0,0,0,0,0,0,5.917906046,13.8474744,12.65495579,0,0,0,0,0,0,0,0,5.917906046,0,0,0,6.076020107,20.42641008,0,0,0,0,0,0,0.648148148,0,1.916666667,7.768518519,0,0.6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.8284,25.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CCc1cnccn1,4.034722222,0.966111111,4.034722222,0.966111111,0.536795265,108.144,100.08,108.0687483,42,0,0.05834278,-0.261224036,0.261224036,0.05834278,1.5,2.375,2.75,14.75182513,10.35837408,1.8237224,-1.875146602,1.873063659,-1.840274345,4.921972738,0.999621632,2.832085835,147.8745239,5.819990956,4.83358478,4.83358478,3.931851653,2.680872107,2.680872107,1.550303349,1.550303349,0.978887002,0.978887002,0.512539756,0.512539756,-0.92,91.36757728,5.221242938,2.403301637,1.025681073,48.60058331,0,0,0,0,0,0,9.967957042,0,0,0,6.9237372,6.420821623,18.59053071,5.693927995,0,0,0,9.967957042,0,13.34455882,0,24.28445871,0,0,0,0,0,0,9.967957042,6.420821623,0,12.61766519,18.59053071,0,0,0,25.78,0,0,0,0,0,12.11474962,0,18.59053071,0,16.89169424,0,0,0,7.927731481,0,1.048611111,0,0,6.130787037,2.059537037,0,0.333333333,8,0,2,0,0,0,0,1,1,2,0,2,1,0,0,0,1,1.039,31.41,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CCCCCCCO,8.365586735,0.364795918,8.365586735,0.364795918,0.544191494,116.204,100.076,116.1201151,50,0,0.043052407,-0.396376569,0.396376569,0.043052407,1,1.625,2.125,16.24992366,10.15692741,1.835549395,-1.93020102,1.999291915,-1.812371922,4.38629622,0.282260801,2.530060457,29.36806555,6.242640687,5.689854283,5.689854283,3.914213562,3.523334547,3.523334547,2.13782036,2.13782036,1.261667274,1.261667274,0.715356789,0.715356789,-0.04,61.49961227,7.96,6.96,5.96,51.72313747,5.106527395,0,0,0,0,0,0,0,0,0,32.60702369,6.420821623,6.606881965,0,5.106527395,0,0,0,0,39.02784531,6.606881965,0,0,0,0,0,0,0,11.71340936,0,0,39.02784531,0,0,0,0,20.23,0,0,0,0,6.606881965,6.420821623,25.68328649,0,0,6.9237372,5.106527395,0,0,0,8.365586735,0,0,0,6.076218821,2.558194444,0,1,8,1,1,0,0,0,0,0,0,1,1,1,5,0,0,0,0,1.9491,35.8448,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
5,Cc1cc(cc(c1)O)C,8.993888889,0.354166667,8.993888889,0.354166667,0.557704396,122.167,112.087,122.0731649,48,0,0.115604486,-0.507946148,0.507946148,0.115604486,1,1.444444444,1.777777778,16.2546934,10.14552986,1.890854819,-1.954463219,2.126576291,-1.739391478,5.310778492,0.474199622,3.16567031,165.3298402,6.853371151,5.679264403,5.679264403,4.18154055,2.955657605,2.955657605,2.34591213,2.34591213,1.206449714,1.206449714,0.950643512,0.950643512,-0.98,85.75693819,6.144688279,2.094917408,1.456737692,54.9555211,5.106527395,5.749511833,0,0,0,0,0,0,0,0,6.066367068,37.10711152,0,0,5.106527395,0,0,0,0,13.8474744,0,29.32600419,0,5.749511833,0,0,5.749511833,0,5.106527395,0,13.8474744,11.12690298,18.19910121,0,0,0,20.23,0,0,0,0,5.749511833,11.12690298,0,12.13273414,19.91384147,0,5.106527395,0,0,0,8.993888889,2.208333333,0.354166667,5.513611111,0,3.93,0,0.25,9,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,2.00904,37.5808,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CC(C)C(C)C,2.240740741,0.851851852,2.240740741,0.851851852,0.459028278,86.178,72.066,86.10955045,38,0,-0.044812659,-0.062529132,0.062529132,0.044812659,0.666666667,0.833333333,0.833333333,14.01333452,10.012,1.951629084,-2.049741469,2.052015963,-1.9524813,4.459075191,0.456972857,2.993497243,21.01955001,5.154700538,5.154700538,5.154700538,2.64273441,2.64273441,2.64273441,2.488033872,2.488033872,1.333333333,1.333333333,0,0,0,13.60964047,6,2.222222222,2.25,40.5639616,0,0,0,0,0,0,0,0,0,0,27.6949488,11.83581209,0,0,0,0,0,0,11.83581209,27.6949488,0,0,0,0,0,0,0,0,0,0,11.83581209,27.6949488,0,0,0,0,0,0,0,0,0,0,11.83581209,0,0,0,27.6949488,0,0,0,0,0,0,1.703703704,0,0,8.962962963,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.2984,29.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CCCC(C)(C)O,9.017638889,-0.449652778,9.017638889,0.449652778,0.560609798,102.177,88.065,102.1044651,44,0,0.059122169,-0.390472182,0.390472182,0.059122169,1.428571429,1.857142857,1.857142857,16.28095164,10.0459663,2.079696701,-2.135866195,2.076711196,-2.164777002,4.614146329,0.070281895,3.154490065,42.63193445,5.914213562,5.361427158,5.361427158,3.060660172,2.78426697,2.78426697,2.56243426,2.56243426,0.861803399,0.861803399,0.611803399,0.611803399,-0.04,18.14170945,6.96,2.31410722,5.96,45.35819535,5.106527395,0,0,0,0,0,0,0,0,0,13.34455882,20.26829602,0,5.601050811,5.106527395,0,0,0,0,39.21390566,0,0,0,0,0,0,0,0,10.70757821,0,0,33.61285484,0,0,0,0,20.23,5.601050811,0,0,0,0,12.84164325,0,0,13.8474744,6.9237372,5.106527395,0,0,0,9.017638889,-0.449652778,0,0,1.954861111,5.727152778,0,1,7,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1.5574,31.2058,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,C[C@@H]1CCCC[C@@H]1C,2.378796296,1.003472222,2.378796296,1.003472222,0.451755297,112.216,96.088,112.1252005,48,0,-0.041698204,-0.062254863,0.062254863,0.041698204,0.875,1.25,1.5,14.20874424,9.818666442,2.149789642,-2.240315778,2.277817443,-2.119093942,4.668795292,0.277071028,2.279400271,56.4385619,5.983127663,5.983127663,5.983127663,3.804530453,3.804530453,3.804530453,3.239024819,3.239024819,2.540336414,2.540336414,1.501661279,1.501661279,0,72.49526583,6.125,2.52,1.239669421,52.28801468,0,0,0,0,0,0,0,0,0,0,39.53076089,11.83581209,0,0,0,0,0,0,11.83581209,39.53076089,0,0,0,0,0,0,0,0,0,0,11.83581209,39.53076089,0,0,0,0,0,0,0,0,0,0,11.83581209,25.68328649,0,0,13.8474744,0,0,0,0,0,0,2.006944444,0,5.90212963,4.757592593,0,1,8,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,2.8326,36.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CC[C@H](C)O,8.361111111,-0.115740741,8.361111111,0.115740741,0.486927429,74.123,64.043,74.07316494,32,0,0.050903904,-0.393430087,0.393430087,0.050903904,1.8,2,2,16.26458483,10.32638817,1.812132088,-1.900915745,1.811751015,-1.926645189,4.338386967,0.190544205,2.539538861,17.60964047,4.28445705,3.731670646,3.731670646,2.27005561,1.950904231,1.950904231,1.257269657,1.257269657,0.590822476,0.590822476,0,0,-0.04,9.651484454,4.96,2.212525253,3.96,32.62831112,5.106527395,0,0,0,0,0,0,0,0,0,6.9237372,13.34455882,0,6.103966388,5.106527395,0,0,0,0,26.37226241,0,0,0,0,0,0,0,0,11.21049378,0,0,20.26829602,0,0,0,0,20.23,0,0,0,6.103966388,0,6.420821623,0,6.9237372,6.9237372,0,5.106527395,0,0,0,8.361111111,0,0,0,0.74537037,3.726851852,0,1,5,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.7772,21.9718,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
